date,country,confirmed,recovered,deaths,country_code,S1_School closing,S1_IsGeneral,S2_Workplace closing,S2_IsGeneral,S3_Cancel public events,S3_IsGeneral,S4_Close public transport,S4_IsGeneral,S5_Public information campaigns,S5_IsGeneral,S6_Restrictions on internal movement,S6_IsGeneral,S7_International travel controls,S8_Fiscal measures,S9_Monetary measures,S10_Emergency investment in health care,S11_Investment in Vaccines,S12_Testing framework,S13_Contact tracing,StringencyIndex,StringencyIndexForDisplay,pct_positive,test_by_million
2020-03-12,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-13,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,2.0,0.0,9.25,,0.0,0.0,0.0,19.05,19.05,12.3,443.0
2020-03-14,Uruguay,4.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,1.0,2.0,0.0,9.25,,0.0,1.0,0.0,26.19,26.19,12.3,443.0
2020-03-15,Uruguay,0.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,520000000.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-16,Uruguay,4.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-17,Uruguay,21.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-18,Uruguay,21.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-19,Uruguay,29.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-20,Uruguay,15.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-21,Uruguay,16.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-22,Uruguay,48.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-23,Uruguay,4.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-24,Uruguay,0.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-25,Uruguay,27.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-26,Uruguay,28.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-27,Uruguay,21.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-28,Uruguay,36.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-29,Uruguay,30.0,0.0,1.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-30,Uruguay,6.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-03-31,Uruguay,28.0,41.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-01,Uruguay,0.0,0.0,1.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-02,Uruguay,12.0,21.0,2.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-03,Uruguay,19.0,6.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-04,Uruguay,31.0,25.0,1.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-05,Uruguay,0.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-06,Uruguay,6.0,11.0,1.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-07,Uruguay,18.0,46.0,1.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-08,Uruguay,0.0,0.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-09,Uruguay,32.0,42.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-10,Uruguay,17.0,14.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-11,Uruguay,21.0,8.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-12,Uruguay,-14.0,17.0,0.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-13,Uruguay,0.0,0.0,1.0,URY,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,,1.0,,3.0,0.0,9.25,,0.0,1.0,1.0,64.29,64.29,12.3,443.0
2020-04-14,Uruguay,3.0,17.0,0.0,URY,,,,,,,0.0,,,,,,,,,,,,,,64.29,12.3,443.0
2020-04-15,Uruguay,9.0,12.0,0.0,URY,,,,,,,0.0,,,,,,,,,,,,,,64.29,12.3,443.0
2020-04-16,Uruguay,10.0,26.0,1.0,URY,,,,,,,,,,,,,,,,,,,,,64.29,12.3,443.0
2020-04-17,Uruguay,0.0,0.0,0.0,URY,,,,,,,,,,,,,,,,,,,,,64.29,12.3,443.0
2020-01-22,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
2020-01-23,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
2020-01-24,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
2020-01-25,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
2020-01-26,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
2020-01-27,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
2020-01-28,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.14,7.14,,
